지역,풍속,높이,풍하중
속초,33.99,71,877.3101063985798
속초,33.99,72,882.0459148354131
속초,33.99,73,886.7944710742293
속초,33.99,74,891.5557751150296
속초,33.99,75,896.3298269578127
속초,33.99,76,901.1166266025793
속초,33.99,77,905.9161740493292
속초,33.99,78,910.7284692980631
속초,33.99,79,915.5535123487798
속초,33.99,80,920.3913032014801
속초,33.99,81,925.2418418561639
속초,33.99,82,930.1051283128307
속초,33.99,83,934.9811625714813
속초,33.99,84,939.8699446321157
속초,33.99,85,944.7714744947326
속초,33.99,86,949.6857521593331
속초,33.99,87,954.6127776259175
속초,33.99,88,959.5525508944852
속초,33.99,89,964.5050719650358
속초,33.99,90,969.4703408375699
속초,33.99,91,974.4483575120879
속초,33.99,92,979.4391219885891
속초,33.99,93,984.4426342670733
속초,33.99,94,989.4588943475413
속초,33.99,95,994.4879022299928
속초,33.99,96,999.5296579144274
속초,33.99,97,1004.5841614008457
속초,33.99,98,1009.6514126892469
속초,33.99,99,1014.7314117796318
속초,33.99,100,1019.8241586720001
속초,33.99,101,1024.9296533663519
속초,33.99,102,1030.0478958626868
속초,33.99,103,1035.1788861610057
속초,33.99,104,1040.3226242613073
철원,19.49,5,194.95139217239247
철원,19.49,6,196.2318576453012
철원,19.49,7,197.5165144945533
철원,19.49,8,198.80536272014876
철원,19.49,9,200.09840232208765
철원,19.49,10,201.39563330036995
철원,19.49,11,202.69705565499567
철원,19.49,12,204.00266938596477
철원,19.49,13,205.31247449327734
철원,19.49,14,206.62647097693323
철원,19.49,15,207.94465883693252
철원,19.49,16,209.26703807327522
철원,19.49,17,210.5936086859613
철원,19.49,18,211.9243706749908
철원,19.49,19,213.25932404036368
철원,19.49,20,214.5984687820799
철원,19.49,21,215.94180490013972
철원,19.49,22,217.2893323945428
철원,19.49,23,218.64105126528926
철원,19.49,24,219.9969615123792
철원,19.49,25,221.35706313581247
철원,19.49,26,222.72135613558916
철원,19.49,27,224.08984051170927
철원,19.49,28,225.46251626417276
철원,19.49,29,226.83938339297964
철원,19.49,30,228.22044189812996
철원,19.49,31,229.60569177962367
철원,19.49,32,230.99513303746076
철원,19.49,33,232.3887656716412
철원,19.49,34,233.78658968216513
철원,19.49,35,235.1886050690325
철원,19.49,36,236.5948118322432
철원,19.49,37,238.0052099717973
철원,19.49,38,239.4197994876948
철원,19.49,39,240.83858037993568
철원,19.49,40,242.26155264852
철원,19.49,41,243.6887162934477
철원,19.49,42,245.12007131471879
철원,19.49,43,246.55561771233317
철원,19.49,44,247.99535548629117
철원,19.49,45,249.43928463659253
철원,19.49,46,250.88740516323713
철원,19.49,47,252.33971706622526
철원,19.49,48,253.79622034555672
철원,19.49,49,255.25691500123165
철원,19.49,50,256.7218010332499
철원,19.49,51,258.19087844161163
철원,19.49,52,259.6641472263168
철원,19.49,53,261.14160738736524
철원,19.49,54,262.6232589247572
철원,19.49,55,264.1091018384924
철원,19.49,56,265.5991361285712
철원,19.49,57,267.0933617949932
철원,19.49,58,268.5917788377588
철원,19.49,59,270.09438725686766
철원,19.49,60,271.60118705232
철원,19.49,61,273.11217822411567
철원,19.49,62,274.62736077225475
철원,19.49,63,276.14673469673727
철원,19.49,64,277.6702999975632
철원,19.49,65,279.19805667473247
철원,19.49,66,280.7300047282452
철원,19.49,67,282.2661441581012
철원,19.49,68,283.80647496430083
철원,19.49,69,285.3509971468436
철원,19.49,70,286.89971070573
철원,19.49,71,288.4526156409596
철원,19.49,72,290.0097119525328
철원,19.49,73,291.5709996404492
철원,19.49,74,293.1364787047092
철원,19.49,75,294.7061491453125
철원,19.49,76,296.28001096225915
철원,19.49,77,297.8580641555493
철원,19.49,78,299.4403087251828
철원,19.49,79,301.02674467115963
철원,19.49,80,302.61737199348005
철원,19.49,81,304.2121906921436
철원,19.49,82,305.81120076715075
철원,19.49,83,307.41440221850127
철원,19.49,84,309.0217950461952
철원,19.49,85,310.6333792502324
철원,19.49,86,312.2491548306131
철원,19.49,87,313.86912178733724
철원,19.49,88,315.4932801204048
철원,19.49,89,317.12162982981573
철원,19.49,90,318.7541709155699
철원,19.49,91,320.3909033776677
